Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
180663,2018,06/28/2019,Hamden,51 INGRAM ST,178290.0,279500.0,0.6378,Single Family,Single Family,,,,
16298,2016,05/31/2017,Farmington,2 BLENHEIM TERR,441670.0,584000.0,0.756284247,Single Family,Single Family,,,,POINT (-72.83503 41.75085)
61138,2006,05/02/2007,Norwalk,4 LIBBY RD,384440.0,722500.0,0.532096886,Single Family,Single Family,,,,
150080,2015,03/09/2016,Woodbury,226 QUASSUK RD,220140.0,195000.0,1.128923077,Single Family,Single Family,25 - Other,ESTATE SALE/TRUSTEE DEED,,
190223,2019,08/28/2020,Plymouth,COUNTRY GARDEN LOT 2G,80360.0,60000.0,1.3393,,,,,,
90640,2009,01/25/2010,Cromwell,133 COLES ROAD,210930.0,305500.0,0.690441899,Single Family,Single Family,,,,
20700,2002,09/17/2003,East Haven,12 CECELIA DR,64370.0,145000.0,0.443931034,,,10.0,,,
14170,2014,02/20/2015,Newington,21 TROTTER LANE,272460.0,401000.0,0.679451372,Single Family,Single Family,,,,
180477,2018,04/12/2019,New Britain,87 PINEHURST AVE,25340.0,18000.0,1.4077,,,25 - Other,Sale price is not reflective of market value for this type of property,,
80134,2008,12/08/2008,West Hartford,90 KANE STREET UNIT C3,88500.0,97000.0,0.912371134,Condo,Condo,14 - Foreclosure,,,
12263,2012,07/03/2013,Darien,593 HOLLOW TREE RIDGE ROAD,1711290.0,2375000.0,0.720543158,Single Family,Single Family,,,,
130071,2013,05/27/2014,Middlebury,106 YALE AVE,146100.0,166000.0,0.880120482,Single Family,Single Family,14 - Foreclosure,Cape Cod,,
10024,2001,10/12/2001,Torrington,202 BRIGHTWOOD AVE,63800.0,123000.0,0.518699187,,,,,,
40326,2004,12/17/2004,West Hartford,66 EMILY WAY,63000.0,431783.0,0.145906624,,,7,,,
160076,2016,12/14/2016,New London,11 WALLER CT,99400.0,91000.0,1.092307692,Single Family,Single Family,25 - Other,SHORT SALE PER MLS EXPIRED LISTING,,
80030,2008,02/18/2009,Hebron,218 HOPE VALLEY RD,260800.0,400000.0,0.652,Single Family,Single Family,,,,
1700067,2017,12/05/2017,Brookfield,578 FEDERAL RD,2960500.0,17190000.0,0.172222222,,,03 - Inter Corporation,,,
13112,2013,12/26/2013,Ridgefield,16 GRIFFITH LA,519170.0,762500.0,0.680878689,Single Family,Single Family,,,,
40069,2004,11/22/2004,East Lyme,8 METHODIST ST,150010.0,207000.0,0.72468599,,,,,,
110366,2011,05/21/2012,Bristol,39 BERNSIDE DR,118720.0,155000.0,0.765935484,Two Family,Two Family,,,,
40251,2004,10/25/2004,Bridgeport,17 CHARRON ST,122220.0,225000.0,0.5432,,,,,,POINT (-73.21181 41.21765)
220401,2022,07/03/2023,Groton,45 FOX RUN LN,260890.0,550000.0,0.4743,Residential,Single Family,,,,POINT (-71.986336006 41.394763003)
50206,2005,11/10/2005,Meriden,4007 LAKE RDG,72100.0,167000.0,0.431736527,,,,,,
120208,2012,09/26/2013,Old Saybrook,25 CHANNELSIDE DR,166500.0,99900.0,1.666666667,Single Family,Single Family,25 - Other,RATIO,,
130017,2013,10/09/2013,Hamden,145 CENTERBROOK RD,3045210.0,90000.0,33.83566667,,,08 - Part Interest,CO-OP; PART INTEREST,,
170315,2017,08/06/2018,Avon,31 HIGH RIDGE HOLLOW,249700.0,440000.0,0.5675,Single Family,Single Family,,,,
19065,2019,11/04/2019,Newtown,58 NEW LEBBON ROAD,298970.0,465000.0,0.6429,Single Family,Single Family,,,,
220182,2022,08/14/2023,Ellington,266 CRYSTAL LAKE RD,50290.0,30000.0,1.6763,Vacant Land,,12 - Non Buildable Lot,NON BUILDABLE LOT,,POINT (-72.44759555 41.911484047)
90109,2009,01/19/2010,Trumbull,1144 DANIELS FARM RD,482300.0,525000.0,0.918666667,Single Family,Single Family,,,,
60597,2006,12/29/2006,Waterbury,165 HIGHLAND DR,69860.0,155000.0,0.450709677,Single Family,Single Family,,,,POINT (-73.05851 41.54)
50130,2005,12/23/2005,Avon,54 HIGHWOOD DR,229350.0,350000.0,0.655285714,,,,,,
100414,2010,07/13/2011,Middletown,141 BERLIN ST,123290.0,150000.0,0.821933333,Single Family,Single Family,,,,
181963,2018,07/15/2019,Waterbury,140 JOSHUA TOWN RD,43620.0,30000.0,1.454,,,,,,
60007,2006,10/04/2006,East Hampton,23 YOUNG ST,97910.0,114868.0,0.852369676,Single Family,Single Family,01 - Family,,,POINT (-72.50915 41.5605)
30984,2003,04/19/2004,Danbury,80 TOWN HL AVE,165500.0,365000.0,0.453424658,,,,,,POINT (-73.44551 41.39299)
50511,2005,12/28/2005,New Haven,613 FERRY ST,33670.0,140000.0,0.2405,,,,,,
200282,2020,04/15/2021,Madison,3 ALLISON DR,547900.0,825000.0,0.6641,Residential,Single Family,07 - Change in Property,improved after 10/1/2020,,
20178,2002,12/21/2002,Windsor,625 PALISADO AVE 203,36540.0,64000.0,0.5709375,,,,,,
60278,2006,06/25/2007,Waterford,34E RIVERSIDE DR,77350.0,120000.0,0.644583333,Single Family,Single Family,08 - Part Interest,,,
110112,2011,09/28/2012,Essex,57 MAIN ST SX,1082300.0,900000.0,1.202555556,,,16 - Charitable Group,Sold to tax exempt educational organization,,
181197,2018,09/04/2019,Stratford,919 STRATFORD AVE  UNIT 7,107100.0,190000.0,0.563684211,,,,RETAIL CONDO,,
20293,2020,01/14/2021,East Hartford,334 SILVER LN,411650.0,700000.0,0.588,Commercial,,21 - Personal Property Exchange,,,POINT (-72.62975 41.7624)
11341,2011,04/25/2012,Fairfield,94 MATILDA PLACE,553770.0,401000.0,1.380972569,Single Family,Single Family,14 - Foreclosure,FORCLOSURE SALE,,
10636,2010,08/24/2011,Hartford,10-12 FALES ST,66532.0,65000.0,1.023569231,Three Family,Three Family,25 - Other,Foreclosure related sale,,
211116,2021,03/18/2022,Waterbury,41 MANOR AVE,101250.0,245000.0,0.413265306,Residential,Single Family,,,,POINT (-73.015985001 41.552172001)
10028,2010,01/11/2011,East Haddam,108 BOARDMAN RD,144170.0,115000.0,1.253652174,Single Family,Single Family,25 - Other,Probated and neighbor was told he can have the house,,
60418,2006,06/05/2007,Windsor,20 TANGLEWOOD DR,98560.0,177000.0,0.556836158,Single Family,Single Family,,,,
10356,2001,07/26/2002,Madison,10 CEDAR LN,240100.0,145730.0,1.647567419,,,1,,,
30162,2003,02/06/2004,Simsbury,7 HOMESTEAD RD,205370.0,395000.0,0.519924051,,,,,,
150211,2015,09/22/2016,Woodbury,233 QUANOPAUG TRAIL,141930.0,95200.0,1.490861345,Single Family,Single Family,14 - Foreclosure,,,
30135,2003,09/17/2004,Deep River,17 RIVER ST,95900.0,210000.0,0.456666667,,,,,,POINT (-72.43548 41.38598)
10338,2001,06/28/2002,Monroe,47 ROCKWOOD LN,241360.0,497000.0,0.485633803,,,,,,
10199,2010,06/30/2011,Darien,32 TULIP TREE LANE,977690.0,1450000.0,0.674268966,Single Family,Single Family,,,,
200135,2020,01/20/2021,Plainville,57 TWINING ST,104790.0,150000.0,0.6986,Residential,Single Family,,,,
190149,2019,11/19/2019,Bristol,17 FANWAY AVE,104230.0,179900.0,0.5794,Single Family,Single Family,,,,
10085,2010,12/10/2010,Manchester,39 WILFRED ROAD,102800.0,138000.0,0.744927536,Single Family,Single Family,,,,
19005,2019,10/04/2019,Montville,43 MANOR RD,125020.0,224000.0,0.5581,Single Family,Single Family,,,,
40114,2004,10/19/2004,Hartford,133 HUYSHOPE AVE UT4A 4C,26460.0,77750.0,0.340321543,,,6,,,
221021,2022,07/17/2023,Southington,94 90 APPLE GATE,250780.0,475000.0,0.5279,Residential,Condo,,,,POINT (-72.86811398 41.62204099)
40046,2004,07/06/2005,Warren,FLAT ROCK RD,14350.0,1750000.0,0.0082,,,28,,,
10629,2001,08/09/2002,Naugatuck,138 PHOENIX AVE,100440.0,192000.0,0.523125,,,,,,POINT (-73.04644 41.49029)
20634,2020,08/23/2021,Southbury,BUCKS HILL RD,10710.0,120000.0,0.08925,Vacant Land,,28 - Use Assessment,OPEN SPACE,,
210167,2021,11/02/2021,West Hartford,21 ARNOLD WAY,106085.0,177000.0,0.5993,Residential,Condo,,,,POINT (-72.737745965 41.764198989)
21244,2021,09/13/2022,Oxford,100 COUNTRY CLUB DRIVE,272900.0,570000.0,0.4787,Residential,Condo,,,,POINT (-73.108203684 41.461605878)
160242,2016,11/16/2016,Bridgeport,333 GROVERS AVE,170140.0,290000.0,0.586689655,Single Family,Single Family,,,,
100339,2010,06/23/2011,East Hartford,127 CIPOLLA DRIVE,161450.0,215000.0,0.750930233,Single Family,Single Family,,,,
90124,2009,03/08/2010,Ridgefield,50 SPIRE VIEW RD,344320.0,451000.0,0.76345898,Single Family,Single Family,,,,
10335,2010,06/24/2011,Glastonbury,24 BROOKVIEW DR,259500.0,360000.0,0.720833333,Single Family,Single Family,,,,
12297,2001,09/06/2002,Stamford,28 STANDISH RD 1,55930.0,166000.0,0.336927711,,,,,,
51987,2005,07/03/2006,Stamford,130 OLD COLONY RD,192640.0,640000.0,0.301,,,,,,
120039,2012,11/12/2012,Guilford,1 INDIAN MEADOWS DR,551210.0,610000.0,0.903622951,Single Family,Single Family,,,,
20029,2020,04/16/2021,Norfolk,106 GREENWOODS ROAD E,505590.0,665000.0,0.7602,Residential,Single Family,16 - Charitable Group,,,POINT (-73.19075 41.98868)
16183,2016,06/28/2017,Mansfield,164 DAVIS RD,176300.0,288000.0,0.612152778,Single Family,Single Family,,,,
210034,2021,11/08/2021,Coventry,94 STONEHOUSE RD #29,196700.0,419900.0,0.468444868,Residential,Condo,07 - Change in Property,,,POINT (-72.300402984 41.770087989)
201358,2020,08/31/2021,Cromwell,10 RAYMOND PLACE,139370.0,270000.0,0.5161,Residential,Single Family,,,,
40408,2004,03/29/2005,Naugatuck,100 WARREN AVE,111050.0,253000.0,0.438932806,,,,,,
10248,2001,06/13/2002,Clinton,19 COW HL RD,108800.0,245500.0,0.443177189,,,,,,
100160,2010,04/20/2011,Killingly,101 MORIN AVE,102200.0,122500.0,0.834285714,Single Family,Single Family,,,,POINT (-71.88123 41.81689)
2000359,2020,06/08/2021,Cheshire,138 EDWARDS RD,143920.0,265000.0,0.543,Residential,Single Family,,,,
800202,2008,12/29/2008,Bristol,325 WOODLAND ST,143640.0,205000.0,0.700682927,Single Family,Single Family,,,,POINT (-72.92937 41.68115)
19285,2019,06/26/2020,Watertown,86 ALDORISIO ST,129500.0,220000.0,0.5886,Single Family,Single Family,,,,
50445,2005,03/24/2006,Middletown,5 GLYNN AVE,80680.0,174900.0,0.461292167,,,,,,POINT (-72.64977 41.55185)
50778,2005,06/30/2006,East Hartford,233 ELLINGTON RD UT 119,13600.0,45500.0,0.298901099,,,,,,POINT (-72.62262 41.79365)
140744,2014,07/16/2015,Fairfield,24 CATHERINE TERRACE,326200.0,625000.0,0.52192,Single Family,Single Family,,,,
20681,2002,03/10/2003,Hartford,72 ELLINGTON ST,52990.0,106500.0,0.497558685,,,,,,
140020,2014,04/10/2015,Willington,10 MIRTL RD,127380.0,187500.0,0.67936,Single Family,Single Family,,,,
210225,2021,04/27/2022,Bloomfield,8 TIMBER LANE,213710.0,425000.0,0.5028,Residential,Single Family,,,,POINT (-72.762290022 41.88439699)
110041,2011,12/05/2011,Avon,17 OLD KINGS ROAD,426890.0,485000.0,0.880185567,Single Family,Single Family,,,,POINT (-72.89723 41.78946)
190865,2019,06/15/2020,Milford,155 CORONA DR,175750.0,220000.0,0.7989,Single Family,Single Family,,,,
190402,2019,12/19/2019,Waterbury,48 LONE OAK AVE,64460.0,125000.0,0.5157,Single Family,Single Family,,,,
182090,2018,08/02/2019,Waterbury,64 WHITECROFT LANE,54630.0,110000.0,0.4966,Single Family,Single Family,,,,
20081,2002,02/03/2003,New Hartford,304 STEELE RD,159880.0,280000.0,0.571,,,,,,
140263,2014,02/27/2015,Southington,602 SOUTH END RD,159130.0,225000.0,0.707244444,Single Family,Single Family,,,,POINT (-72.87418 41.56656)
170224,2017,08/01/2018,Windsor Locks,103 BEL AIRE CIRCLE,96100.0,112500.0,0.854222222,Single Family,Single Family,14 - Foreclosure,,,
13036,2013,12/30/2013,Derby,217 DERBY AVE,88340.0,36259.0,2.436360628,Single Family,Single Family,14 - Foreclosure,,,
140103,2014,12/05/2014,Norwich,11 HARLAND RD,92100.0,45000.0,2.046666667,Single Family,Single Family,15 - Government Agency,,,POINT (-72.08685 41.54516)
70024,2007,10/31/2007,Windsor Locks,401 SOUTH ELM ST,117300.0,224000.0,0.523660714,Single Family,Single Family,,,,POINT (-72.63886 41.91246)
10147,2001,03/04/2002,Darien,67 MAPLE ST,179830.0,347000.0,0.518242075,,,,,,
10211,2001,06/27/2002,Oxford,3 APPLE DR,299550.0,580000.0,0.516465517,,,,,,POINT (-73.13627 41.43826)
10060,2001,10/15/2001,Hartford,100 RETREAT AVE UT 303,79800.0,55000.0,1.450909091,,,25,,,
90050,2009,12/22/2009,Cromwell,1215 CROMWELL HILLS DRIVE,88616.0,130000.0,0.681661538,Condo,Condo,,,,
170304,2017,05/15/2018,Trumbull,167 FRESH MEADOW DR,282870.0,436000.0,0.6487,Single Family,Single Family,,,,
14391,2014,08/07/2015,Darien,231 HOYT STREET,383810.0,549000.0,0.699107468,Single Family,Single Family,,,,
130600,2013,08/13/2014,Manchester,15 CANTONE CIRCLE,160700.0,259900.0,0.618314736,Condo,Condo,,,,
110239,2011,07/05/2012,South Windsor,907 MISTY MEADOW LANE,115650.0,126000.0,0.917857143,Condo,Condo,,,,POINT (-72.5719 41.80984)
31517,2003,07/13/2004,Danbury,48 WOOSTER HTS RD,173800.0,368500.0,0.471641791,,,,,,POINT (-73.46524 41.37712)
61975,2006,07/03/2007,Bridgeport,77 KENNEDY DR,80521.0,163500.0,0.49248318,Condo,Condo,,,,
40574,2004,08/01/2005,Ridgefield,43 SOUTHRIDGE CT,632340.0,1399000.0,0.451994282,,,,,,POINT (-73.50112 41.23938)
70062,2007,02/01/2008,Haddam,165 SILVER SPRING DR,81030.0,135000.0,0.600222222,,,,,,
10787,2001,06/07/2002,New Britain,320 BINGHAM ST,47730.0,58000.0,0.822931034,,,3,,,
81098,2008,08/10/2009,Waterbury,925 ORONOKE RD #36E,113470.0,145000.0,0.782551724,Condo,Condo,01 - Family,,,
110024,2011,11/02/2011,Berlin,31 CONCORD DR,231700.0,295000.0,0.785423729,Condo,Condo,,,,POINT (-72.72457 41.63553)
160020,2016,10/12/2016,West Haven,38 PHILLIPS TERR,181580.0,290000.0,0.626137931,Single Family,Single Family,,,,
1501138,2015,05/27/2016,Stamford,300 BROAD STREET # 705,144560.0,271000.0,0.533431734,Condo,Condo,,,,POINT (-73.53301 41.05542)
211532,2021,05/09/2022,Bridgeport,213 GOLDEN HILL ST #231,3853220.0,9150000.0,0.42111694,Apartments,,,,,POINT (-73.191475986 41.179883988)
14549,2014,06/01/2015,Milford,30 LUCIUS CT #019,161520.0,260000.0,0.621230769,Condo,Condo,,,,
120779,2012,07/01/2013,Greenwich,3 MARKS ROAD,1570660.0,2820000.0,0.556971631,Single Family,Single Family,,,,
1901220,2019,07/06/2020,Stamford,25 FOREST STREET UNIT 15C,218040.0,315000.0,0.6922,Condo,Condo,,,,POINT (-73.53653 41.05676)
11025,2011,11/03/2011,North Haven,194 QUINNIPIAC AVEENUE #3-C,91700.0,149000.0,0.615436242,Condo,Condo,,,,
130274,2013,08/18/2014,Waterford,155 NIANTIC RIVER RD,234580.0,321250.0,0.730210117,Single Family,Single Family,01 - Family,,,
40117,2004,12/02/2004,Windham,1475 W MAIN ST,716520.0,705216.0,1.016029132,,,8,,,POINT (-72.23353 41.71758)
1910270,2019,04/01/2020,Naugatuck,138 BARN FINCH CIR,90130.0,145000.0,0.6216,Condo,Condo,,,,
40187,2004,03/29/2005,Cromwell,86 NORTH RD,112710.0,85000.0,1.326,,,1,,,
2020164,2020,03/22/2021,Old Saybrook,23 PARK AVE,252400.0,455000.0,0.5547,Residential,Single Family,,,,POINT (-72.36473 41.26886)
10144,2001,06/17/2002,Weston,154 GEORGETOWN RD,304290.0,660000.0,0.461045455,,,,,,
30087,2003,10/20/2003,West Hartford,32 RICHMOND LN,133630.0,289000.0,0.462387543,,,,,,POINT (-72.76452 41.79668)
60095,2006,04/25/2007,Burlington,42 WARREN GLN,331450.0,540000.0,0.613796296,Single Family,Single Family,,,,
900076,2009,01/29/2010,Berlin,84 SURREY LN,189100.0,290000.0,0.652068966,Single Family,Single Family,,,,
20563,2002,03/26/2003,West Hartford,2 SUNNY BEACH DR,171800.0,250000.0,0.6872,,,,,,POINT (-72.72014 41.79634)
110417,2011,08/27/2012,Westport,184 CROSS HIGHWAY,1383800.0,1850000.0,0.748,Single Family,Single Family,,,,
120112,2012,11/08/2012,Bridgeport,55 HAZELWOOD AVE,129880.0,159500.0,0.814294671,Single Family,Single Family,,,,POINT (-73.20852 41.17772)
17000139,2017,03/02/2018,Brookfield,35 SHORT OAK DR,182890.0,369900.0,0.4944,Condo,Condo,07 - Change in Property,NEW CONSTRUCTION,,
70015,2007,10/25/2007,Haddam,33 OAK HILL TERRACE,401170.0,720000.0,0.557180556,Single Family,Single Family,,,,
130434,2013,01/22/2014,Waterbury,88 - 90 - 94 WAKELEE RD,330790.0,168000.0,1.968988095,Condo,Condo,25 - Other,INCLDS 12 CONDOS,,POINT (-73.00249 41.57413)
210809,2021,05/02/2022,Bristol,103 BUCKLEY AVENUE,137380.0,360000.0,0.3816,Residential,Single Family,,,,POINT (-72.893135973 41.679674998)
40418,2004,12/30/2004,New Britain,112 MCKINLEY DR,67900.0,145000.0,0.468275862,,,,,,POINT (-72.79333 41.69171)
13064,2013,11/18/2013,West Haven,214 CHURCH ST,147980.0,185000.0,0.799891892,Single Family,Single Family,,,,
130324,2013,06/13/2014,Branford,41 OLD SMUGGLERS RD,291500.0,506000.0,0.576086957,Single Family,Single Family,,,,
210727,2021,05/10/2022,Hamden,151 CENTERBROOK RD,2811890.0,101000.0,27.8404,Apartments,,08 - Part Interest,PARTIAL INTEREST; CO-OP,,POINT (-72.90837829 41.378136502)
80696,2008,08/21/2009,Hamden,26 RICHARD DRIVE,183050.0,264000.0,0.693371212,Single Family,Single Family,,,,
20673,2002,01/14/2003,Stamford,151 ROLLING WOOD DR,261240.0,610000.0,0.428262295,,,,,,
150516,2015,04/25/2016,New Britain,93 NEWINGTON AVE,96950.0,110000.0,0.881363636,Single Family,Single Family,,,,
180820,2018,08/12/2019,Manchester,20 BRUCE ROAD,137900.0,225000.0,0.612888889,Single Family,Single Family,07 - Change in Property,,ASSESSMENT INCREASE SINCE 10/01/18 - ALSO SEE #180042,
100184,2010,05/09/2011,Trumbull,344 DAYTON ROAD,498800.0,511000.0,0.976125245,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,POINT (-73.24047 41.2665)
21581,2021,05/06/2022,Orange,626 S GREENBRIER DR,215500.0,505900.0,0.4259,Residential,Single Family,,,,POINT (-73.054015959 41.267680987)
150227,2015,05/27/2016,Stonington,42 COURTLAND ST,111300.0,190000.0,0.585789474,Single Family,Single Family,,,,
211108,2021,03/09/2022,Bridgeport,550 AMSTERDAM AVE,170270.0,365000.0,0.4664,Residential,Single Family,,,,POINT (-73.211793971 41.205939008)
211029,2021,07/01/2022,New Haven,109 HARBOUR CLOSE #C109,141260.0,295000.0,0.4788,Residential,Condo,,,,POINT (-72.931196016 41.281145006)
40300,2004,12/02/2004,Meriden,1163 HANOVER AVE,23100.0,40000.0,0.5775,,,,,,
220129,2022,04/10/2023,East Hampton,1 WILKES RD,147960.0,235000.0,0.6296,Residential,Single Family,10 - A Will,ESTATE,,POINT (-72.520059977 41.523335991)
200144,2020,02/24/2021,Suffield,35 HERITAGE TRL,238420.0,395100.0,0.6034,Residential,Single Family,,,,
51389,2005,03/02/2006,Bridgeport,105 7 AUSTIN ST,189070.0,465000.0,0.406602151,,,,,,
30086,2003,11/19/2003,Waterford,21 WOODLAND DR,26490.0,56900.0,0.465553603,,,,,,
190043,2019,10/29/2019,Glastonbury,36 HUBBARD RUN DR,118700.0,165000.0,0.7194,Condo,Condo,,,,POINT (-72.59738 41.70542)
110530,2011,06/19/2012,Greenwich,"19 BOULDER BROOK ROAD, GRW,CT",1533770.0,3200000.0,0.479303125,Single Family,Single Family,,Nov-66,,
190100,2019,10/23/2019,Waterbury,42 PUTNAM ST,42250.0,125000.0,0.338,Three Family,Three Family,07 - Change in Property,,,
30262,2003,07/06/2004,Griswold,42 ANTHONY ST UT 33,36610.0,97000.0,0.37742268,,,,,,POINT (-71.98601 41.60554)
190434,2019,02/11/2020,Fairfield,339 FAIRVIEW AVENUE,407190.0,589875.0,0.6903,Single Family,Single Family,,,,POINT (-73.24847 41.1567)
70034,2007,10/22/2007,Newington,54 HOPKINS DR.,149570.0,202950.0,0.736979552,Single Family,Single Family,,,,
41311,2004,05/16/2005,Norwalk,18 N TAYLOR,87150.0,246000.0,0.354268293,,,,,,
170173,2017,05/15/2018,Bloomfield,127 SUTTON PL,68950.0,90000.0,0.766111111,Condo,Condo,,,,
100419,2010,06/10/2011,New Britain,107 DEVENS ST,105560.0,58250.0,1.812188841,Single Family,Single Family,08 - Part Interest,,,
140012,2014,10/30/2014,Washington,16 TOMPKINS HILL RD,197810.0,465000.0,0.425397849,Single Family,Single Family,,,,
20955,2002,03/21/2003,New Haven,327 BASSETT ST,61950.0,126000.0,0.491666667,,,,,,
10406,2001,12/06/2001,Norwalk,39 FORT PT ST,243950.0,450000.0,0.542111111,,,,,,POINT (-73.40975 41.10256)
40334,2004,07/29/2005,Plainville,4 MEADOWLARK LN,62050.0,127200.0,0.487814465,,,,,,
162097,2016,01/18/2017,Shelton,6-8 HULL ST,179690.0,172500.0,1.041681159,Two Family,Two Family,14 - Foreclosure,,,POINT (-73.08699 41.31164)
20253,2002,04/04/2003,Rocky Hill,15 BERKSHIRE RD,70890.0,142000.0,0.499225352,,,,,,
170204,2017,03/08/2018,Wethersfield,1 MT LAUREL DR,61900.0,80000.0,0.77375,Condo,Condo,25 - Other,,PER ASSESSOR APPEAL PRIVATE SALE  GRANTEE OWNS MULTIPLE UNITS IN COMPLEX,
10101,2010,05/13/2011,Colchester,24 KMICK LN,133000.0,180000.0,0.738888889,Single Family,Single Family,,,,
30402,2003,07/16/2004,Bethel,93C CHESTNUT ST,114870.0,226000.0,0.508274336,,,,,,
180463,2018,06/05/2019,Enfield,HAMLET B09UF,82510.0,144900.0,0.5694,Condo,Condo,,,,POINT (-72.60089 41.96648)
70129,2007,03/13/2008,Montville,109 DERRY HILL RD,222120.0,320000.0,0.694125,Single Family,Single Family,,,,
52562,2005,08/22/2006,Waterbury,96 LAVAL ST,59010.0,120000.0,0.49175,,,,,,POINT (-73.03017 41.53881)
150301,2015,08/22/2016,New Canaan,153 COMSTOCK HILL RD,906640.0,1227600.0,0.738546758,Single Family,Single Family,,,,
220030,2022,10/13/2022,Branford,8 MONTOYA,92800.0,225000.0,0.4124,Residential,Condo,,,,POINT (-72.827645984 41.281528981)
11044,2011,11/23/2011,North Haven,9 GILES AVENUE,127400.0,128000.0,0.9953125,Single Family,Single Family,,,,
21576,2021,09/01/2022,Newtown,90 TAUNTON LAKE ROAD,315370.0,906000.0,0.348,Residential,Single Family,,,,POINT (-73.328859989 41.406724984)
160154,2016,06/19/2017,Stafford,8 SOUTH RD,1795500.0,3000.0,598.5,,,06 - Portion of Property,SALE OF CAMPSITE IN COOP CAMPGROUND,,
101110,2010,08/30/2011,Stamford,46 MAITLAND ROAD,349650.0,305000.0,1.146393443,Single Family,Single Family,,,,POINT (-73.51539 41.06227)
120343,2012,05/08/2013,Meriden,868 PADDOCK AVE,169050.0,290000.0,0.582931034,Single Family,Single Family,,,,
20204,2002,05/20/2003,Tolland,73 WILLIE CIR,94840.0,155000.0,0.611870968,,,,,,
50074,2005,12/30/2005,Old Lyme,304 CANTY LN,175900.0,395000.0,0.445316456,,,,,,
20207,2002,08/25/2003,Portland,14 ELIZABETH RD,107940.0,230000.0,0.469304348,,,,,,POINT (-72.63114 41.57636)
30302,2003,07/21/2004,Stafford,8 SOUTH RD,1708970.0,22000.0,77.68045455,,,6.0,,,
150670,2015,08/16/2016,Wallingford,34 ALLEN AVE,106200.0,100200.0,1.05988024,Single Family,Single Family,14 - Foreclosure,,,
60367,2006,03/05/2007,Wallingford,31 LAUREL VW,35700.0,55000.0,0.649090909,Single Family,Single Family,,,,
2200396,2022,06/27/2023,Naugatuck,961 NEW HAVEN RD,187670.0,300000.0,0.6255,Residential,Single Family,,,,POINT (-73.034559969 41.469974993)
140052,2014,11/14/2014,Windsor,10 COTTAGE ST,137760.0,57000.0,2.416842105,Two Family,Two Family,25 - Other,TWO HOUSES ON ONE LOT,,
161352,2016,06/20/2017,Stamford,272 HUBBARD AVENUE,186670.0,334000.0,0.558892216,Condo,Condo,,,,
800088,2008,01/23/2009,Guilford,WEST LAKE AVE,1038100.0,700000.0,1.483,,,18 - In Lieu Of Foreclosure,"139, 145, 149 GINA LN; GINA LN MAP 95 LOTS 48A&49; 118 LYNN DR",,
41677,2004,07/22/2005,Danbury,POCONO PT RD,20900.0,7000.0,2.985714286,,,3,,,
120014,2012,10/23/2012,Old Saybrook,10 LEADA WOODS RD,278200.0,355000.0,0.783661972,Single Family,Single Family,,,,POINT (-72.40526 41.31478)
150513,2015,09/29/2016,Windsor,303 MERCER LN,206500.0,345000.0,0.598550725,Single Family,Single Family,,,,
200228,2020,07/29/2021,Old Lyme,23 SEA VIEW RD,331300.0,615000.0,0.5386,Residential,Single Family,,,,POINT (-72.25221 41.29654)
150916,2015,09/21/2016,Manchester,983R HILLSTOWN ROAD,3300.0,412500.0,0.008,,,17 - Two Towns,MAJORITY IN GLASTONBURY,,POINT (-72.56742 41.73419)
140354,2014,08/21/2015,South Windsor,1410 SUNFIELD DR,91900.0,133000.0,0.690977444,Condo,Condo,,,,
210536,2021,01/11/2022,Norwalk,30 OLMSTEAD PL,235790.0,390000.0,0.6045,Residential,Single Family,,5-1-191-0,,POINT (-73.402562986 41.108673015)
30236,2003,05/03/2004,Brookfield,6 HORSESHOE DR,140280.0,259000.0,0.541621622,,,,,,POINT (-73.42003 41.46329)
20160558,2020,12/03/2020,Redding,46 CHALBURN RD,369100.0,1200000.0,0.3075,Residential,Single Family,,,,POINT (-73.44524 41.30644)
131149,2013,11/21/2013,West Hartford,54 RIDGEBROOK DR,184030.0,265000.0,0.69445283,Single Family,Single Family,,,,POINT (-72.74848 41.74956)
60175,2006,12/22/2006,Naugatuck,319 ALLERTON RD,124160.0,200000.0,0.6208,Single Family,Single Family,14 - Foreclosure,,,
120026,2012,10/22/2012,Vernon,80-62 COUNTRY LN,102350.0,153000.0,0.668954248,Condo,Condo,,,,
180100,2018,06/11/2019,North Branford,229 BRANFORD RD UNIT 506,107300.0,152000.0,0.7059,Condo,Condo,,,,
50225,2005,08/01/2006,East Windsor,69 PROSPECT HL DR,82780.0,185000.0,0.447459459,,,,,,
51560,2005,04/20/2006,Waterbury,56 BRYAN ST,61110.0,130900.0,0.46684492,,,,,,
90590,2009,05/04/2010,New Haven,295 BLAKE ST,406840.0,950000.0,0.428252632,,,,,,POINT (-72.95368 41.32774)
40975,2004,03/31/2005,Danbury,1 CLASON PL,151000.0,340000.0,0.444117647,,,,,,
220189,2022,05/15/2023,New Canaan,253 NEW NORWALK RD-#1,423570.0,749000.0,0.5655,Residential,Condo,,,,POINT (-73.485225986 41.149796015)
140464,2014,06/22/2015,Meriden,34 ALANBY DR,117460.0,197000.0,0.596243655,Single Family,Single Family,07 - Change in Property,,,
